Outbound From,Destination,ArrivalCountry,Inbound To,Departure Date,Return Date,Trip Duration (Days),Outbound Price,Inbound Price,Total Price,IATA_Departure,IATA_Destination,IATA_Return,Outbound Provider,Inbound Provider,Outbound Source Currency,Inbound Source Currency,Round_Trip_Link,Route,AvgPrice,z_score,price_yesterday,price_change_percent
Warszawa,Malaga,Hiszpania,Warszawa,2026-05-17,2026-05-21,4,165,212,377,WARS,AGP,WARS,ryanair,wizzair,PLN,EUR,https://www.skyscanner.net/g/referrals/v1/flights/day-view/?origin=wars&destination=agp&outboundDate=2026-05-17&inboundDate=2026-05-21&market=PL&locale=pl-PL&currency=PLN&mediaPartnerId=6439681,Warszawa-Malaga,415.25,-1.2323183546821483,383.18,-1.61
Warszawa,Malaga,Hiszpania,Warszawa,2026-06-02,2026-06-04,2,219,165,384,WARS,AGP,WARS,wizzair,ryanair,PLN,PLN,https://www.skyscanner.net/g/referrals/v1/flights/day-view/?origin=wars&destination=agp&outboundDate=2026-06-02&inboundDate=2026-06-04&market=PL&locale=pl-PL&currency=PLN&mediaPartnerId=6439681,Warszawa-Malaga,475.7105263157895,-1.4834541481509906,385.04,-0.27
Warszawa,Malaga,Hiszpania,Warszawa,2026-05-28,2026-06-04,7,219,165,384,WARS,AGP,WARS,wizzair,ryanair,PLN,PLN,https://www.skyscanner.net/g/referrals/v1/flights/day-view/?origin=wars&destination=agp&outboundDate=2026-05-28&inboundDate=2026-06-04&market=PL&locale=pl-PL&currency=PLN&mediaPartnerId=6439681,Warszawa-Malaga,415.25,-1.006796041406984,,0.0
Warszawa,Alicante,Hiszpania,Warszawa,2026-05-12,2026-05-16,4,167,221,388,WARS,ALC,WARS,ryanair,ryanair,PLN,PLN,https://www.skyscanner.net/g/referrals/v1/flights/day-view/?origin=wars&destination=alc&outboundDate=2026-05-12&inboundDate=2026-05-16&market=PL&locale=pl-PL&currency=PLN&mediaPartnerId=6439681,Warszawa-Alicante,430.7567567567568,-2.232661098733598,,0.0
Warszawa,Alicante,Hiszpania,Warszawa,2026-05-16,2026-05-23,7,164,233,397,WARS,ALC,WARS,ryanair,ryanair,PLN,PLN,https://www.skyscanner.net/g/referrals/v1/flights/day-view/?origin=wars&destination=alc&outboundDate=2026-05-16&inboundDate=2026-05-23&market=PL&locale=pl-PL&currency=PLN&mediaPartnerId=6439681,Warszawa-Alicante,430.7567567567568,-1.762701461642392,403.07,-1.51
Warszawa,Alicante,Hiszpania,Warszawa,2026-05-18,2026-05-21,3,188,212,400,WARS,ALC,WARS,ryanair,wizzair,PLN,EUR,https://www.skyscanner.net/g/referrals/v1/flights/day-view/?origin=wars&destination=alc&outboundDate=2026-05-18&inboundDate=2026-05-21&market=PL&locale=pl-PL&currency=PLN&mediaPartnerId=6439681,Warszawa-Alicante,430.7567567567568,-1.6060482492786565,401.56,-0.39
Warszawa,Alicante,Hiszpania,Warszawa,2026-06-13,2026-06-18,5,188,212,400,WARS,ALC,WARS,ryanair,wizzair,PLN,EUR,https://www.skyscanner.net/g/referrals/v1/flights/day-view/?origin=wars&destination=alc&outboundDate=2026-06-13&inboundDate=2026-06-18&market=PL&locale=pl-PL&currency=PLN&mediaPartnerId=6439681,Warszawa-Alicante,449.74285714285713,-1.2161090035128466,401.56,-0.39
Warszawa,Malaga,Hiszpania,Warszawa,2026-06-11,2026-06-16,5,219,182,401,WARS,AGP,WARS,wizzair,ryanair,PLN,PLN,https://www.skyscanner.net/g/referrals/v1/flights/day-view/?origin=wars&destination=agp&outboundDate=2026-06-11&inboundDate=2026-06-16&market=PL&locale=pl-PL&currency=PLN&mediaPartnerId=6439681,Warszawa-Malaga,475.7105263157895,-1.208472403615685,402.07,-0.27
Warszawa,Malaga,Hiszpania,Warszawa,2026-06-09,2026-06-16,7,219,182,401,WARS,AGP,WARS,wizzair,ryanair,PLN,PLN,https://www.skyscanner.net/g/referrals/v1/flights/day-view/?origin=wars&destination=agp&outboundDate=2026-06-09&inboundDate=2026-06-16&market=PL&locale=pl-PL&currency=PLN&mediaPartnerId=6439681,Warszawa-Malaga,475.7105263157895,-1.208472403615685,402.07,-0.27
Warszawa,Alicante,Hiszpania,Warszawa,2026-05-16,2026-05-20,4,164,238,402,WARS,ALC,WARS,ryanair,wizzair,PLN,EUR,https://www.skyscanner.net/g/referrals/v1/flights/day-view/?origin=wars&destination=alc&outboundDate=2026-05-16&inboundDate=2026-05-20&market=PL&locale=pl-PL&currency=PLN&mediaPartnerId=6439681,Warszawa-Alicante,430.7567567567568,-1.5016127743694998,403.08,-0.27
